사업자 등록번호,595-81-02960,상호,주식회사 뉴진사이언스(New Gene Science Inc.),대표자 명,김기환,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
총 합계금액,"163,332,753",총 공급가액,"148,484,325",총 세액,"14,848,428",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매입 전자(수정) 세금계산서 목록조회,,,,,,,,,,,,,,,,,,,,,,,,대표 품목,,,,,,,,
작성일자,승인번호,발급일자,전송일자,공급자사업자등록번호,종사업장번호,상호,대표자명,주소,공급받는자사업자등록번호,종사업장번호,상호,대표자명,주소,합계금액,공급가액,세액,전자세금계산서분류,전자세금계산서종류,발급유형,비고,영수/청구 구분,공급자 이메일,공급받는자 이메일1,공급받는자 이메일2,품목일자,품목명,품목규격,품목수량,품목단가,품목공급가액,품목세액,품목비고
2026-07-31,20260731-41000061-n1bhlitl,2026-07-31,2026-07-31,215-86-24821,,(주)다윈바이오,유선하,경기도 하남시 조정대로150 아이테코 블루존 601호,595-81-02960,,주식회사 뉴진사이언스 (New Gene Science Inc.),김기환,"경기도 광명시 소하로 190, 비동 9층 21호 (소하동, 광명G타워)","1,210,000","1,100,000","110,000",세금계산서,일반,ASP발급,,청구,jinlim@dawinbio.com,newgenes@newgenesci.com,,2026-07-31,장비 [EVE-MC] Automatic cell counter EVE,,0,0,"1,100,000","110,000",
2026-07-31,20260731-41000009-a0000bz5,2026-07-31,2026-08-01,160-86-00927,,(주)다윈바이오텍,김용문,"경기도 하남시 조정대로 150 (덕풍동, 아이테코) 607호",595-81-02960,,주식회사 뉴진사이언스,김기환,경기도 광명시 소하로 190 (소하동) 비동 9층 21호(광명G타워),"8,946,245","8,132,950","813,295",세금계산서,일반,ASP발급,,청구,sj.yoo@dawinbiotech.com,jason.kim@newgenesci.com,,2026-07-31,[ab320723] Anti-LRRC15 antibody [EPR28303-108] 외,,,,"8,132,950","813,295",
2026-07-31,20260731-10260803-26264379,2026-08-03,2026-08-03,386-81-00693,,주식회사 아이셀,이용철,"경기도 하남시 조정대로 150, 아이테코 755호",595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","261,800","238,000","23,800",세금계산서,일반,인터넷발급,,청구,,newgenes@newgenesci.com,,2026-07-31,Silicone oil viscosity 100 cSt (25 °C)-63148-62-9,250ML,1,"188,000","188,000","18,800",
2026-07-30,20260730-41000007-18728705,2026-07-30,2026-07-31,641-86-00839,,주식회사 엑소젠,조광호,"대전광역시 유성구 죽동로242번길 8-17,1층 102호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","3,466,496","3,151,360","315,136",세금계산서,일반,ASP발급,,청구,xogenebio@xogenebio.com,newgenes@newgenesci.com,,,Gene Fragments without Adapters(300＜X≤3200)- Total 2ea,bp,"6,392",120,"767,040","76,704",
2026-07-30,20260730-10260730-22106227,2026-07-30,2026-07-30,134-13-73811,,삼성오에이프라자,송동운,"경기도 안산시 단원구 별망로 555, 2층 231,232호(원시동, 타원TAKRA-V 지식산업센터)",595-81-02960,,(주)뉴진사이언스,김기환,경기도광명시소하로190.비동9층21호,"110,000","100,000","10,000",세금계산서,일반,인터넷발급,,청구,sdwxerox@hanmail.net,newgenes@newgenesci.com,,2026-07-30,복사기사용료,,,,"100,000","10,000",
2026-07-29,20260729-41000096-46232563,2026-07-29,2026-07-30,229-81-08112,,(주)나노엔텍 본사,정찬일,서울시 구로구 구로3동 235-2 에이스하이엔드타워 1210호,595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190 비동 9층 21호 (소하동, 광명G타워)","9,240,000","8,400,000","840,000",세금계산서,일반,ASP발급,,청구,joyhan@nanoentek.com,newgenes@newgenesci.com,,2026-07-29,ExTransfection 10 μL Kit,EXT1025K,10,"420,000","4,200,000","420,000",
2026-07-29,20260729-41000061-eb83igds,2026-07-30,2026-07-30,763-81-00487,,(주)엘피에스솔루션,김천기,대전광역시 대덕구 덕암로148번길29 (상서동),595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,경기도 광명시 소하로 190 (소하동) 비동 9층 21호(광명G타워),"770,000","700,000","70,000",세금계산서,일반,ASP발급,,청구,lpss56789@naver.com,newgenes@newgenesci.com,,2026-07-29,"NuGen AG Tip, 10ul, Extra Long, Nature, Racked, Sterile","96 Tips/rack, 10 racks/Pack, 5 Packs/Carton",250,"2,800","700,000","70,000",
2026-07-29,20260729-10260730-22131738,2026-07-30,2026-07-30,386-81-00693,,주식회사 아이셀,이용철,"경기도 하남시 조정대로 150, 아이테코 755호",595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","254,870","231,700","23,170",세금계산서,일반,인터넷발급,,청구,,newgenes@newgenesci.com,,2026-07-29,"96 Well Cell Culture Plate, Flat, TC, Sterile, 1/pk, 100/cs",100/CS,1,"109,500","109,500","10,950",
2026-07-28,20260728-10260728-20597647,2026-07-28,2026-07-28,763-86-01332,,주식회사 비전랩사이언스,정혜영,"인천광역시 남동구 선수촌공원로17번길 1, A동 707호(구월동, 구월테크노밸리)",595-81-02960,,(주)뉴진사이언스,김기환,"경기 광명시 소하로 190 (소하동, 광명G타워) b동 921호","72,600","66,000","6,600",세금계산서,일반,인터넷발급,,영수,vls0711@hanmail.net,hugyoung@newgenesci.com,,2026-07-28,리키드블록커 ,,1,"66,000","66,000","6,600",
2026-07-27,20260727-41000096-45870534,2026-07-27,2026-07-28,101-81-65912,,(주)고려에이스과학,박건,서울특별시 종로구 돈화문로 4길 4 (장사동),595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,"경기도 광명시 소하로 190 비동 9층 21호 (소하동, 광명G타워)","106,700","97,000","9,700",세금계산서,일반,ASP발급,,영수,KOACE1@bill36524.com,bj.park@newgenesci.com,,2026-07-27,ⓗ Slide Folder,"20Slides, 192x295x11mm, Yellow",5,"13,400","67,000","6,700",
