사업자 등록번호,595-81-02960,상호,주식회사 뉴진사이언스(New Gene Science Inc.),대표자 명,김기환,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
총 합계금액,"171,200,060",총 공급가액,"155,636,418",총 세액,"15,563,642",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매출 전자(수정) 세금계산서 목록조회,,,,,,,,,,,,,,,,,,,,,,,,대표 품목,,,,,,,,
작성일자,승인번호,발급일자,전송일자,공급자사업자등록번호,종사업장번호,상호,대표자명,주소,공급받는자사업자등록번호,종사업장번호,상호,대표자명,주소,합계금액,공급가액,세액,전자세금계산서분류,전자세금계산서종류,발급유형,비고,영수/청구 구분,공급자 이메일,공급받는자 이메일1,공급받는자 이메일2,품목일자,품목명,품목규격,품목수량,품목단가,품목공급가액,품목세액,품목비고
2026-07-31,20260731-41000061-6deq6u3j,2026-07-31,2026-07-31,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",208-82-01633,,서울대학교병원,김영태,서울특별시 종로구 대학로 101(연건동),"9,417,100","8,561,000","856,100",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,usun1907@naver.com,,2026-07-31,Anti-LRRC15 antibody [EPR28303-108] 외 15종,,1,"8,561,000","8,561,000","856,100",
2026-07-29,20260729-41000061-6p2moqvh,2026-07-29,2026-07-29,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",149-86-03645,,주식회사 제닉스바이오,박승문,"전북특별자치도 전주시 덕진구 백제대로 567, 110호(금암동, 농업생명과학대학2호관)","12,320,000","11,200,000","1,120,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,smpark@yeastechbio.com,,2026-07-29,5단 5열 Slide Rack 외 5건,,0,0,"11,200,000","1,120,000",
2026-07-27,20260727-41000008-0991fyqj,2026-07-28,2026-07-29,595-81-02960,,주식회사 뉴진사이언스,김기환,경기도 광명시 소하로  190 (소하동) b동 921호,104-81-58502,,(주)아이마켓코리아,김학재,"서울특별시 강남구 삼성로  511 (삼성동, 아이콘 삼성)","2,200,000","2,000,000","200,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,ap.master@imarketkorea.com,,2026-07-27,ExTransfection 100 μL Kit,,,0,"2,000,000","200,000",
2026-07-10,20260710-41000061-th976s79,2026-07-28,2026-07-28,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",120-88-23213,,(주)베르티스,"한승만,노동영","경기도 과천시 과천대로7길 33, B동 301, 302호(갈현동, 디 테크 타워 과천)","990,000","900,000","90,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,yeji.kang@bertis.com,,2026-07-10,"Nugens 1250 µl Pipette Tip, Refill type, Natural, Sterile","[768 Tips/Pack, 10 Packs/Carton]",30,"30,000","900,000","90,000",
2026-07-10,20260710-41000061-rjcb3vjd,2026-07-15,2026-07-15,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",463-81-03153,,주식회사 셀바스찬,김교범,"서울시특별시 중구 필동로1길 30, 01228호(필동3가, 동국대학교)","4,714,600","4,286,000","428,600",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,miae0812@naver.com,,2026-07-10,CellTracker™ Deep Red Dye 외 22건,,0,0,"4,286,000","428,600",
2026-07-10,20260710-41000061-ggh1uarw,2026-07-22,2026-07-22,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",160-86-00927,,주식회사 다윈바이오텍,김용문,"경기도 하남시 조정대로 150, 607호(덕풍동, 아이테코)","5,593,500","5,085,000","508,500",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,bill@dawinbiotech.com,,2026-07-10,[EXT-1025K] ExTransfection 10 ul Kit (25 x 2 reaction),,3,"521,250","1,563,750","156,375",
2026-07-08,20260708-41000061-j525woe7,2026-07-08,2026-07-08,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호",128-86-88690,,주식회사 나노백스,김봉윤,"제주특별자치도 제주시 연삼로 793, 1동 2층(화북이동)","4,994,000","4,540,000","454,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,watson11@hometax.go.kr,,2026-07-08,Gibco FBS (Fetal Bovine Serum) 500ml,,4,"780,000","3,120,000","312,000",
2026-07-08,20260708-41000061-bje9i1kh,2026-07-08,2026-07-08,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호",135-22-56874,,바이오스템,권기원,"경기도 수원시 장안구 서부로 2193, 6층 604호(율전동, 율전동제일오피스텔)","5,562,040","5,056,400","505,640",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,kkwbiostem@hanmail.net,,2026-07-08,TritonX-100,,1,"5,056,400","5,056,400","505,640",
2026-07-06,20260706-41000061-w7i7w946,2026-07-28,2026-07-28,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",202-87-01983,,이뮤노디자이너스 주식회사,오성수,"서울특별시 강남구 테헤란로 322, 서관동 14층 1418, 1419호(역삼동, 한신인터밸리24빌딩)","264,000","240,000","24,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,ydheo@immunodesigners.com,,2026-07-06,"NuGen Serological pipette, Welding, 25ml [100 PCS/BOX, 6 BOXES/CASE]",,6,"40,000","240,000","24,000",
2026-07-03,20260703-41000061-pdbv9763,2026-07-06,2026-07-06,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호",160-86-00927,,주식회사 다윈바이오텍,김용문,"경기도 하남시 조정대로 150, 607호(덕풍동, 아이테코)","41,118,000","37,380,000","3,738,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,bill@dawinbiotech.com,,2026-07-03,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction)",,3,"12,460,000","37,380,000","3,738,000",
