회사명 : (주)뉴진사이언스 / 2025/01/01  ~ 2026/08/03 ,,,,,,,,,,,,
일자-No.,구매처명,납품처1,사양,품목코드,품목명(규격),수량,단가,공급가액,부가세,합계,담당자,송금
2026/07/29 -1,나노엔텍,선매입,,EXT10025K,ExTransfection 100 ul kit (25 x 2 reactions),10,"420,000","4,200,000","420,000","4,620,000",뉴진,
2026/07/29 -1,나노엔텍,선매입,,EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions),10,"420,000","4,200,000","420,000","4,620,000",뉴진,
2026/07/29 -1,나노엔텍,선매입,,EXT1000S,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction)",5,,,,,뉴진,
2025/12/30 -2,나노엔텍,선매입,,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),110,"1,250,000","137,500,000","13,750,000","151,250,000",뉴진,
2025/12/30 -2,나노엔텍,선매입,,EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions),140,"1,250,000","175,000,000","17,500,000","192,500,000",뉴진,
2025/12/30 -2,나노엔텍,선매입,,EXT1000S,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction) [set]",10,"8,500,000","85,000,000","8,500,000","93,500,000",뉴진,
2025/12/30 -1,나노엔텍,선매입,,EXT10096K,ExTransfection 100 μL Kit (96 × 2 reactions) [kit],2,,,,,뉴진,
2025/12/30 -1,나노엔텍,선매입,,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions) [kit],20,"1,250,000","25,000,000","2,500,000","27,500,000",뉴진,
2025/12/30 -1,나노엔텍,선매입,,EXT1096K,ExTransfection 10 μL Kit (96 × 2 reactions) [kit],2,,,,,뉴진,
2025/12/30 -1,나노엔텍,선매입,,EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions) [kit],20,"1,250,000","25,000,000","2,500,000","27,500,000",뉴진,
2025/12/30 -1,나노엔텍,선매입,,EXT10025K,ExTransfection 100 μL Kit (25 × 2 reactions) [kit],1,,,,,뉴진,
2025/12/30 -1,나노엔텍,선매입,,EXT10025K,ExTransfection 100 ul kit (25 x 2 reactions) [kit],10,"420,000","4,200,000","420,000","4,620,000",뉴진,
2025/12/30 -1,나노엔텍,선매입,,EXT1025K,ExTransfection 10 μL Kit (25 × 2 reactions) [kit],1,,,,,뉴진,
2025/12/30 -1,나노엔텍,선매입,,EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions) [kit],10,"420,000","4,200,000","420,000","4,620,000",뉴진,
2025/12/30 -1,나노엔텍,선매입,,EXT1000S(Demo),"ExTransfection Starter pack (Device,Pipette,Station, 10ul, 100ul tips[96x2reaction) [set]",3,"7,225,000","21,675,000","2,167,500","23,842,500",뉴진,
2025/12/30 -1,나노엔텍,선매입,,EXT1000S,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction) [set]",10,"8,500,000","85,000,000","8,500,000","93,500,000",뉴진,
총합계,,,,,,364,"30,905,000","570,975,000","57,097,500","628,072,500",,
2026/08/03 (월) 오후 6:40:27,,,,,,,,,,,,
