일자-No.,거래처명,품목코드,품목명(규격),수량,단가,공급가액,부가세,합계
2026/08/03 -3,주식회사 다윈바이오텍,EXT-1096K,ExTransfection 10 ul Kit (96 x 2 reaction) [(지역)],5,"1,500,000","7,500,000","750,000","8,250,000"
2026/08/03 -3,주식회사 다윈바이오텍,EXT-1025K,[EXT-1025K] ExTransfection 10 ul Kit (25 x 2 reaction) [(지역)],1,"521,250","521,250","52,125","573,375"
2026/08/03 -2,주식회사 다윈바이오텍,EXT1000S(보상),ExTransfection Electroporation System,1,"5,000,000","5,000,000","500,000","5,500,000"
2026/07/27 -3,(주)아이마켓코리아,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),1,"2,000,000","2,000,000","200,000","2,200,000"
2026/07/10 -1,주식회사 다윈바이오텍,EXT10096K(지역),[EXT-10096K] ExTransfection 100 ul Kit (96 x 2 reaction),2,"1,500,000","3,000,000","300,000","3,300,000"
2026/07/10 -1,주식회사 다윈바이오텍,EXT10025K(지역),[EXT-10025K] ExTransfection 100 ul Kit (25 x 2 reaction),1,"521,250","521,250","52,125","573,375"
2026/07/10 -1,주식회사 다윈바이오텍,EXT-1025K,[EXT-1025K] ExTransfection 10 ul Kit (25 x 2 reaction),3,"521,250","1,563,750","156,375","1,720,125"
2026/07/03 -3,주식회사 다윈바이오텍,EXT1000S(Demo),"ExTransfection Starter pack (Device,Pipette,Station, 10ul, 100ul tips[96x2reaction)",1,,,,
2026/07/03 -3,주식회사 다윈바이오텍,EXT1000S,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction)",3,"12,460,000","37,380,000","3,738,000","41,118,000"
2026/06/30 -2,(주)아이마켓코리아,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),1,"2,000,000","2,000,000","200,000","2,200,000"
2026/06/22 -1,이디랩서비스,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),2,,,,
2026/06/22 -1,이디랩서비스,EXT1000S,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction)",1,"12,000,000","12,000,000","1,200,000","13,200,000"
2026/06/10 -2,주식회사 다윈바이오텍,EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions),1,"521,250","521,250","52,125","573,375"
2026/06/10 -2,주식회사 다윈바이오텍,EXT10025K,ExTransfection 100 ul kit (25 x 2 reactions),4,"521,250","2,085,000","208,500","2,293,500"
2026/06/10 -2,주식회사 다윈바이오텍,EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions),3,"1,500,000","4,500,000","450,000","4,950,000"
2026/06/10 -2,주식회사 다윈바이오텍,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),6,"1,500,000","9,000,000","900,000","9,900,000"
2026/06/04 -2,주식회사 옵티젠,AA,택배비,1,"4,000","4,000",400,"4,400"
2026/06/04 -2,주식회사 옵티젠,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),1,"1,800,000","1,800,000","180,000","1,980,000"
2026/06/01 -1,주식회사 다윈바이오텍,EXT10025K,ExTransfection 100 ul kit (25 x 2 reactions),1,"521,250","521,250","52,125","573,375"
2026/06/01 -1,주식회사 다윈바이오텍,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),1,"1,500,000","1,500,000","150,000","1,650,000"
2026/05/31 -1,(주)아이마켓코리아,EXT10096K(할증),ExTransfection 100 μL Kit (96 × 2 reactions) [kit],1,"2,000,000","2,000,000","200,000","2,200,000"
2026/05/06 -1,한국과학기술연구원,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),1,"2,000,000","2,000,000","200,000","2,200,000"
2026/04/30 -1,(주)아이마켓코리아,EXT10025K(할증),ExTransfection 100 μL Kit (25 × 2 reactions) [kit],1,"2,000,000","2,000,000","200,000","2,200,000"
2026/04/13 -2,주식회사 다윈바이오텍,EXT10025K,ExTransfection 100 ul kit (25 x 2 reactions),1,"521,250","521,250","52,125","573,375"
2026/04/13 -2,주식회사 다윈바이오텍,EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions),1,"521,250","521,250","52,125","573,375"
2026/04/09 -2,주식회사 다윈바이오텍,EXT-10025K(지역),[EXT-10025K] ExTransfection 100 ul Kit (25 x 2 reaction),1,"521,250","521,250","52,125","573,375"
2026/04/09 -1,주식회사 다윈바이오텍,EXT-10096K(지역),[EXT-10096K] ExTransfection 100 ul Kit (96 x 2 reaction),8,"1,500,000","12,000,000","1,200,000","13,200,000"
2026/03/26 -1,주식회사 옵티젠,A,배송비,1,"4,000","4,000",400,"4,400"
2026/03/26 -1,주식회사 옵티젠,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),1,"1,800,000","1,800,000","180,000","1,980,000"
2026/03/25 -1,주식회사 다윈바이오텍,EXT10025K,ExTransfection 100 ul kit (25 x 2 reactions),1,"521,250","521,250","52,125","573,375"
2026/03/20 -1,주식회사 다윈바이오텍,EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions),1,"521,250","521,250","52,125","573,375"
2026/03/11 -1,서울대 이창규P,EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions),1,"2,000,000","2,000,000","200,000","2,200,000"
2026/03/09 -1,성균관대학교산학협력단,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),1,"2,000,000","2,000,000","200,000","2,200,000"
2026/03/02 -1,주식회사 다윈바이오텍,EXT1000S,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction)",3,0,0,0,0
2026/03/02 -1,주식회사 다윈바이오텍,EXT1000S,"[EXT-1000S] ExTransfection Starter Pack [Pipette, Station, 10ul, 100ul tips(192 rxn)] 외 2종",1,"38,650,000","38,650,000","3,865,000","42,515,000"
2026/02/09 -1,주식회사 다윈바이오텍,EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions),1,0,0,0,0
2026/02/09 -1,주식회사 다윈바이오텍,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),5,0,0,0,0
2026/02/09 -1,주식회사 다윈바이오텍,EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions),5,0,0,0,0
2026/02/09 -1,주식회사 다윈바이오텍,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),5,0,0,0,0
2026/02/09 -1,주식회사 다윈바이오텍,EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions),5,0,0,0,0
2026/02/09 -1,주식회사 다윈바이오텍,EXT1000S,"[EXT-1000S] ExTransfection Starter Pack [Pipette, Station, 10ul, 100ul tips(192 rxn)] 외 2종",1,"38,650,000","38,650,000","3,865,000","42,515,000"
2026/02/02 -4,주식회사 더원바이오텍,A,배송비,1,"4,000","4,000",400,"4,400"
2026/02/02 -4,주식회사 더원바이오텍,EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions),1,"590,750","590,750","59,075","649,825"
2026/02/02 -3,주식회사 다윈바이오텍,EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions),2,"1,500,000","3,000,000","300,000","3,300,000"
2026/02/02 -2,이디랩서비스,EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions) [set],3,"1,400,000","4,200,000","420,000","4,620,000"
2026/01/27 -2,주식회사 옵티젠,A,배송비,1,"4,000","4,000",400,"4,400"
2026/01/27 -2,주식회사 옵티젠,EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),1,"1,700,000","1,700,000","170,000","1,870,000"
2026/01/26 -1,주식회사 강스템바이오텍,EXT50T,ExTransfection Tube,1,"330,000","330,000","33,000","363,000"
2026/01/19 -1,오아텍(주),EXT10025K,ExTransfection 100 ul kit (25 x 2 reactions),1,0,0,0,0
2026/01/19 -1,오아텍(주),EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions),1,0,0,0,0
2026/01/19 -1,오아텍(주),EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions),1,0,0,0,0
2026/01/19 -1,오아텍(주),EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions),1,0,0,0,0
2026/01/19 -1,오아텍(주),Demo_version,EXT Starter pack [ea],1,"10,200,000","10,200,000","1,020,000","11,220,000"
2026/01/19 -1,오아텍(주),EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions) [96 Tips],1,"1,600,000","1,600,000","160,000","1,760,000"
