구매전표,,,,,
전표번호 : 20251230-1,,,,,
수신-거래처 : 나노엔텍,,,,,
입고창고 : 나노엔텍,,,,,
금액 : ,"618,832,500 ",,,,
일자,품목명[규격명],수량,단가,공급가액,부가세
12/30,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction) [set]",10,"8,500,000","85,000,000","8,500,000"
12/30,"ExTransfection Starter pack (Device,Pipette,Station, 10ul, 100ul tips[96x2reaction) [set]",3,"7,225,000","21,675,000","2,167,500"
12/30,ExTransfection 10 ul kit (25 x 2 reactions) [kit],10,"420,000","4,200,000","420,000"
12/30,ExTransfection 10 μL Kit (25 × 2 reactions) [kit] (지원),1,0,0,0
12/30,ExTransfection 100 ul kit (25 x 2 reactions) [kit],10,"420,000","4,200,000","420,000"
12/30,ExTransfection 100 μL Kit (25 × 2 reactions) [kit] (지원),1,0,0,0
12/30,ExTransfection 10 ul kit (96 x 2 reactions) [kit],20,"1,250,000","25,000,000","2,500,000"
12/30,ExTransfection 10 μL Kit (96 × 2 reactions) [kit] (지원),2,0,0,0
12/30,ExTransfection 100 ul kit (96 x 2 reactions) [kit],20,"1,250,000","25,000,000","2,500,000"
12/30,ExTransfection 100 μL Kit (96 × 2 reactions) [kit] (지원),2,0,0,0
12/30,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction) [set]",10,"8,500,000","85,000,000","8,500,000"
12/30,ExTransfection 10 ul kit (96 x 2 reactions),140,"1,250,000","175,000,000","17,500,000"
12/30,ExTransfection 100 ul kit (96 x 2 reactions),110,"1,250,000","137,500,000","13,750,000"
,총합계,339 ,"30,065,000 ","562,575,000 ","56,257,500 "
,,,,,
