회사명 : (주)뉴진사이언스 / EXT Starter pack 외 19건 / 2025/12/01  ~ 2026/07/01 ,,,,,,,,,
일자-No.,거래처명,수금일,수량,단가,공급가액,부가세,합계,품목코드,품목명(규격)
2026/06/22 -1,이디랩서비스,6.30,1,"12,000,000","12,000,000","1,200,000","13,200,000",EXT1000S,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction)"
2026/06/10 -2,주식회사 다윈바이오텍,6.15,1,"521,250","521,250","52,125","573,375",EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions)
2026/06/10 -2,주식회사 다윈바이오텍,6.15,4,"521,250","2,085,000","208,500","2,293,500",EXT10025K,ExTransfection 100 ul kit (25 x 2 reactions)
2026/06/10 -2,주식회사 다윈바이오텍,6.15,3,"1,500,000","4,500,000","450,000","4,950,000",EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions)
2026/06/10 -2,주식회사 다윈바이오텍,6.15,6,"1,500,000","9,000,000","900,000","9,900,000",EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions)
2026/06/09 -1,(주)아이마켓코리아,,1,"2,000,000","2,000,000","200,000","2,200,000",EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions)
2026/06/04 -2,주식회사 옵티젠,6.4,1,"1,800,000","1,800,000","180,000","1,980,000",EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions)
2026/06/01 -1,주식회사 다윈바이오텍,6.1,1,"521,250","521,250","52,125","573,375",EXT10025K,ExTransfection 100 ul kit (25 x 2 reactions)
2026/06/01 -1,주식회사 다윈바이오텍,6.1,1,"1,500,000","1,500,000","150,000","1,650,000",EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions)
2026/05/31 -1,(주)아이마켓코리아,9.8 에정,1,"2,000,000","2,000,000","200,000","2,200,000",EXT10096K(할증),ExTransfection 100 μL Kit (96 × 2 reactions) [kit]
2026/05/06 -1,한국과학기술연구원,5.29 KIST 정학,1,"2,000,000","2,000,000","200,000","2,200,000",EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions)
2026/04/30 -1,(주)아이마켓코리아,8.10 예정,1,"2,000,000","2,000,000","200,000","2,200,000",EXT10025K(할증),ExTransfection 100 μL Kit (25 × 2 reactions) [kit]
2026/04/13 -2,주식회사 다윈바이오텍,4.20,1,"521,250","521,250","52,125","573,375",EXT10025K,ExTransfection 100 ul kit (25 x 2 reactions)
2026/04/13 -2,주식회사 다윈바이오텍,4.20,1,"521,250","521,250","52,125","573,375",EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions)
2026/04/09 -2,주식회사 다윈바이오텍,4.20,1,"521,250","521,250","52,125","573,375",EXT-10025K(지역),[EXT-10025K] ExTransfection 100 ul Kit (25 x 2 reaction)
2026/04/09 -1,주식회사 다윈바이오텍,4.20,8,"1,500,000","12,000,000","1,200,000","13,200,000",EXT-10096K(지역),[EXT-10096K] ExTransfection 100 ul Kit (96 x 2 reaction)
2026/03/26 -1,주식회사 옵티젠,3.30,1,"1,800,000","1,800,000","180,000","1,980,000",EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions)
2026/03/25 -1,주식회사 다윈바이오텍,4.6,1,"521,250","521,250","52,125","573,375",EXT10025K,ExTransfection 100 ul kit (25 x 2 reactions)
2026/03/20 -1,주식회사 다윈바이오텍,26.03.23,1,"521,250","521,250","52,125","573,375",EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions)
2026/03/11 -1,서울대 이창규P,4.10신한카드,1,"2,000,000","2,000,000","200,000","2,200,000",EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions)
2026/03/09 -1,성균관대학교산학협력단,3.31,1,"2,000,000","2,000,000","200,000","2,200,000",EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions)
2026/03/02 -1,주식회사 다윈바이오텍,4.2,1,"38,650,000","38,650,000","3,865,000","42,515,000",EXT1000S,"[EXT-1000S] ExTransfection Starter Pack [Pipette, Station, 10ul, 100ul tips(192 rxn)] 외 2종"
2026/02/09 -1,주식회사 다윈바이오텍,2.11,1,"38,650,000","38,650,000","3,865,000","42,515,000",EXT1000S,"[EXT-1000S] ExTransfection Starter Pack [Pipette, Station, 10ul, 100ul tips(192 rxn)] 외 2종"
2026/02/02 -4,주식회사 더원바이오텍,2.2,1,"590,750","590,750","59,075","649,825",EXT1025K,ExTransfection 10 ul kit (25 x 2 reactions)
2026/02/02 -3,주식회사 다윈바이오텍,2.3,2,"1,500,000","3,000,000","300,000","3,300,000",EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions)
2026/02/02 -2,이디랩서비스,2.3,3,"1,400,000","4,200,000","420,000","4,620,000",EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions) [set]
2026/01/27 -2,주식회사 옵티젠,1.27,1,"1,700,000","1,700,000","170,000","1,870,000",EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions)
2026/01/26 -1,주식회사 강스템바이오텍,3.31,1,"330,000","330,000","33,000","363,000",EXT50T,ExTransfection Tube
2026/01/19 -1,오아텍(주),26.1.19,1,"10,200,000","10,200,000","1,020,000","11,220,000",Demo_version,EXT Starter pack [ea]
2026/01/19 -1,오아텍(주),26.1.19,1,"1,600,000","1,600,000","160,000","1,760,000",EXT10096K,ExTransfection 100 ul kit (96 x 2 reactions) [96 Tips]
2026/01/19 -1,오아텍(주),26.1.19,1,"1,600,000","1,600,000","160,000","1,760,000",EXT1096K,ExTransfection 10 ul kit (96 x 2 reactions) [96Tips]
2026/01/19 -1,오아텍(주),26.1.19,1,"12,600,000","12,600,000","1,260,000","13,860,000",EXT1000S,"ExTransfection, Transfection System starter pack (pipette, Station, 10ul, 100ul tips 192reaction) [ea]"
총합계,,,52,"146,590,750","173,454,500","17,345,450","190,799,950",,
2026/07/01 (수) 오후 3:04:23,,,,,,,,,
