회사명 : (주)뉴진사이언스 / (주)엘피에스솔루션 / 2025/01/01  ~ 2026/07/01 ,,,,,,,,,
일자-No.,구매처명,사양,품목코드,품목명(규격),수량,단가,공급가액,부가세,합계
2026/05/20 -1,(주)엘피에스솔루션,뉴진제품,SEP-10,"Xcent Serological pipette, 10ml, 200pcs/Box",12,"30,000","360,000","36,000","396,000"
2026/04/23 -1,(주)엘피에스솔루션,뉴진제품,STAG-1250-B,"EXCELL AG Tip, 1250ul, Nature (1000 Tips/Pack, 5 packs/carton) [1000 Tips/Pack (LPS)]",10,"11,200","112,000","11,200","123,200"
2026/03/10 -5,(주)엘피에스솔루션,뉴진제품,NGS-SEP-10,"NuGen Serological pipette, Stretching, 10ml",2,"30,000","60,000","6,000","66,000"
2025/11/28 -6,(주)엘피에스솔루션,뉴진제품,NGS-SEP-100,"NuGen Serological pipette, Welding, 100ml [40 PCS/BOX, 6 BOXES/CASE]",6,"59,500","357,000","35,700","392,700"
2025/11/28 -6,(주)엘피에스솔루션,뉴진제품,NGS-SEP-50,"NuGen Serological pipette, Welding, 50ml [75 PCS/BOX, 6 BOXES/CASE]",6,"49,000","294,000","29,400","323,400"
2025/11/28 -6,(주)엘피에스솔루션,뉴진제품,NGS-SEP-25,"NuGen Serological pipette, Welding, 25ml [100 PCS/BOX, 6 BOXES/CASE]",12,"28,000","336,000","33,600","369,600"
2025/11/28 -6,(주)엘피에스솔루션,뉴진제품,NGS-SEP-10,"NuGen Serological pipette, Stretching, 10ml",12,"30,000","360,000","36,000","396,000"
2025/11/28 -6,(주)엘피에스솔루션,뉴진제품,NGS-SEP-5,"NuGen Serological pipette, Stretching, 5ml [200 PCS/BOX, 6 BOXES/CASE]",12,"30,000","360,000","36,000","396,000"
2025/06/24 -4,(주)엘피에스솔루션,뉴진제품,NG-STAG-1250-RTS-ER,"NuGen AG Tip, Empty rack, 1250ul [10 racks/Pack, 5 Packs/Case] [100Rack]",100,"2,500","250,000","25,000","275,000"
2025/06/24 -4,(주)엘피에스솔루션,뉴진제품,NG-STAG-200-TRS-ER,"NuGen AG Tip, Empty rack, 200ul [10 racks/Pack, 5 Packs/Case] [100Rack]",100,"2,000","200,000","20,000","220,000"
