일자-No.,거래처명,수량,단가,공급가액,부가세,합계,품목코드,품목명(규격)
2026/06/10 -1,(주)베르티스,30,"30,000","900,000","90,000","990,000",NGS-STAG1250-RS-2,"Nugens 1250 µl Pipette Tip, Refill type, Natural, Sterile [[768 Tips/Pack, 10 Packs/Carton]]"
2026/05/21 -2,이뮤노디자이너스 주식회사,6,"40,000","240,000","24,000","264,000",NGS-SEP-10,"NuGen Serological pipette, Stretching, 10ml"
2026/04/24 -8,(주)베르티스,40,"19,000","760,000","76,000","836,000",NGS-STAG-1250-RTS,"NuGen AG Refill Tip, 1250ul, Nature, Sterile"
2026/04/24 -8,(주)베르티스,40,"24,000","960,000","96,000","1,056,000",NGS-STAG-200-RTS,"NuGen AG Refill Tip, 200ul, Nature, Sterile"
2026/04/24 -8,(주)베르티스,40,"24,000","960,000","96,000","1,056,000",NGS-STAG-10-RTS,"NuGen AG Refill Tip, 10ul, Nature, Sterile"
2026/04/22 -1,이뮤노디자이너스 주식회사,1,"82,000","82,000","8,200","90,200",NGS-CT-3050-S,"NuGen 50ml Centrifuge Tube, Sterile/box"
2026/04/22 -1,이뮤노디자이너스 주식회사,1,"67,000","67,000","6,700","73,700",NGS-CT-3015-S,"NuGen 15ml Centrifuge Tube, Sterile/box"
2026/04/17 -1,(주)베르티스,30,"4,500","135,000","13,500","148,500",NGS-STAG-1250-RS,"NuGen AG Tip 1250ul, Racked"
2026/04/17 -1,(주)베르티스,30,"4,000","120,000","12,000","132,000",NGS-STAG-200-RS,"NuGen AG Tip 200ul, Racked"
2026/04/17 -1,(주)베르티스,30,"4,000","120,000","12,000","132,000",NGS-STAG-10-RS,"NuGen AG Tip 10ul, Racked"
2026/03/18 -1,(주)베르티스,4,"190,000","760,000","76,000","836,000",NGS-STAG-1250-RTS,"NuGen AG Refill Tip, 1250ul, Nature, Sterile [carton]"
2026/03/10 -1,아주대학교_이광P,2,"37,800","75,600","7,560","83,160",NGS-SEP-10,"NuGen Serological pipette, Stretching, 10ml"
2026/02/23 -1,이뮤노디자이너스 주식회사,1,"78,000","78,000","7,800","85,800",NGS-CT-3050-S,"NuGen 50ml Centrifuge Tube, Sterile/box"
2026/01/26 -2,(주)베르티스,3,"34,000","102,000","10,200","112,200",NGS-STAG-1250-RTS,"NuGen AG Refill Tip, 1250ul, Nature, Sterile"
2026/01/26 -2,(주)베르티스,3,"30,000","90,000","9,000","99,000",NGS-STAG-200-RTS,"NuGen AG Refill Tip, 200ul, Nature, Sterile"
2026/01/26 -2,(주)베르티스,3,"30,000","90,000","9,000","99,000",NGS-STAG-10-RTS,"NuGen AG Refill Tip, 10ul, Nature, Sterile"
2026/01/26 -2,(주)베르티스,10,"4,000","40,000","4,000","44,000",NGS-STAG-1250-RS,"NuGen AG Tip 1250ul, Racked"
2026/01/26 -2,(주)베르티스,10,"4,000","40,000","4,000","44,000",NGS-STAG-200-RS,"NuGen AG Tip 200ul, Racked"
2026/01/26 -2,(주)베르티스,10,"4,000","40,000","4,000","44,000",NGS-STAG-10-RS,"NuGen AG Tip 10ul, Racked"
