사업자 등록번호,595-81-02960,상호,주식회사 뉴진사이언스(New Gene Science Inc.),대표자 명,김기환,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
총 합계금액,"106,897,006",총 공급가액,"97,179,099",총 세액,"9,717,907",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매입 전자(수정) 세금계산서 목록조회,,,,,,,,,,,,,,,,,,,,,,,,대표 품목,,,,,,,,
작성일자,승인번호,발급일자,전송일자,공급자사업자등록번호,종사업장번호,상호,대표자명,주소,공급받는자사업자등록번호,종사업장번호,상호,대표자명,주소,합계금액,공급가액,세액,전자세금계산서분류,전자세금계산서종류,발급유형,비고,영수/청구 구분,공급자 이메일,공급받는자 이메일1,공급받는자 이메일2,품목일자,품목명,품목규격,품목수량,품목단가,품목공급가액,품목세액,품목비고
2026-08-24,20260824-41000085-00002774,2026-08-25,2026-08-25,119-19-49901,,성진정보텍,김성훈,"경기도 광명시 소하로190, 광명G타워 B동 901호",595-81-02960,,주식회사뉴진사이언스,김기환,"경기도 광명시 소하로190,비동9층21호","15,730","14,300","1,430",세금계산서,일반,ASP발급,,영수,sj8947060@naver.com,,,2026-08-24,성진정보텍,EA,1,"14,300","14,300","1,430",
2026-08-24,20260824-41000007-19171240,2026-08-24,2026-08-25,641-86-00839,,주식회사 엑소젠,조광호,"대전광역시 유성구 죽동로242번길 8-17,1층 102호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","260,172","236,520","23,652",세금계산서,일반,ASP발급,,청구,xogenebio@xogenebio.com,newgenes@newgenesci.com,,2026-08-24,Gene Fragments without Adapters(300＜X≤3200)- Total 2ea,bp,"1,971",120,"236,520","23,652",
2026-08-21,20260821-41000007-19158468,2026-08-21,2026-08-22,641-86-00839,,주식회사 엑소젠,조광호,"대전광역시 유성구 죽동로242번길 8-17,1층 102호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","1,067,616","970,560","97,056",세금계산서,일반,ASP발급,,청구,xogenebio@xogenebio.com,newgenes@newgenesci.com,,,Gene Fragments without Adapters(300＜X≤3200)- Total 3ea,bp,"8,088",120,"970,560","97,056",Q-706254
2026-08-20,20260820-10260820-44660919,2026-08-20,2026-08-20,376-37-00091,,씨엘에스(CLS),이성진,"충청남도 천안시 동남구 성남면 신사운전길 294-58, 3동 1층",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","5,500,000","5,000,000","500,000",세금계산서,일반,인터넷발급,,청구,clskorea12@daum.net,newjenes@newgenesci.coom,,2026-08-20,냉풍건조기,대,1,,"5,000,000","500,000",
2026-08-19,20260819-41000021-b0007602,2026-08-19,2026-08-19,118-82-70725,,광명g타워,최형석,경기 광명시 소하로 190지타워,595-81-02960,,주식회사 뉴진사이언스,김기환,경기 광명시 소하로 190 비동 9층 21호,"487,970","443,610","44,360",세금계산서,일반,ASP발급,2026년07월 관리비 B동921호,청구,kmtower@navet.com,newgenes@newgenesci.com,,2026-08-19,2026년07월분 관리비 외,,0,0,"443,610","44,360",
2026-08-18,20260818-41000007-19111153,2026-08-18,2026-08-19,641-86-00839,,주식회사 엑소젠,조광호,"대전광역시 유성구 죽동로242번길 8-17,1층 102호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","303,336","275,760","27,576",세금계산서,일반,ASP발급,,청구,xogenebio@xogenebio.com,newgenes@newgenesci.com,,,Gene Fragments with Adapters(300＜X≤3200) - Total 4ea,bp,"2,298",120,"275,760","27,576",Q-701704
2026-08-18,20260818-10260819-43589864,2026-08-19,2026-08-19,386-81-00693,,주식회사 아이셀,이용철,"경기도 하남시 조정대로 150, 아이테코 755호",595-81-02960,,주식회사 뉴진사이언스(New Gene Science Inc.),김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","290,400","264,000","26,400",세금계산서,일반,인터넷발급,,청구,,newgenes@newgenesci.com,,2026-08-18,Anti-Rabbit IgG (whole molecule)-Alkaline Phosphatase antibody produce,0.5ML,1,"260,000","260,000","26,000",
2026-08-18,20260818-10260818-42785567,2026-08-18,2026-08-18,289-37-01291,,백스바이오테크,정승혜,"경기도 고양시 덕양구 호국로742번길 38, 608동 1102호(성사동, 신원당마을)",595-81-02960,,주식회사뉴진사이언스,김기환,"경기도 광명시 소하로190,비동9층21호(소하동 광명G타워)","4,730,000","4,300,000","430,000",세금계산서,일반,인터넷발급,,청구,pukpuke@naver.com,newgenes@newgenesci.com,,2026-08-18," FMDV O-type M3-HRP Nanobody		",,2,"1,100,000","2,200,000","220,000",
2026-08-15,20260815-41000061-3sdkhgqs,2026-08-18,2026-08-18,220-81-65848,,(주)이카운트,김신래,서울특별시 강동구 고덕비즈밸리로6길 84 (고덕동) 이카운트,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하동 190,광명G타워 B동 921호","44,000","40,000","4,000",세금계산서,일반,ASP발급,,청구,csmail@ecounterp.com,NEWGENES@NEWGENESCI.COM,,2026-08-15,2026년 08월 사용료,,0,0,"40,000","4,000",
2026-08-14,20260814-41000007-19084585,2026-08-14,2026-08-15,641-86-00839,,주식회사 엑소젠,조광호,"대전광역시 유성구 죽동로242번길 8-17,1층 102호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","375,804","341,640","34,164",세금계산서,일반,ASP발급,,청구,xogenebio@xogenebio.com,newgenes@newgenesci.com,,,Gene Fragments without Adapters(300＜X≤3200)- Total 3ea,bp,"2,847",120,"341,640","34,164",Q-702278
2026-08-14,20260814-41000007-19082969,2026-08-14,2026-08-15,641-86-00839,,주식회사 엑소젠,조광호,"대전광역시 유성구 죽동로242번길 8-17,1층 102호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","841,764","765,240","76,524",세금계산서,일반,ASP발급,,청구,xogenebio@xogenebio.com,newgenes@newgenesci.com,,,Gene Fragments without Adapters(300＜X≤3200)- Total 7ea,bp,"6,377",120,"765,240","76,524",
2026-08-13,20260813-41000007-19074486,2026-08-13,2026-08-14,641-86-00839,,주식회사 엑소젠,조광호,"대전광역시 유성구 죽동로242번길 8-17,1층 102호",595-81-02960,,뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명 G타워 B동 921호 (소하동)","1,015,080","922,800","92,280",세금계산서,일반,ASP발급,,청구,xogenebio@xogenebio.com,newgenes@newgenesci.com,,,Gene Fragments without Adapters(300＜X≤3200)- Total 5ea,bp,"7,690",120,"922,800","92,280",Q-701434
2026-08-13,20260813-10260813-41323305,2026-08-13,2026-08-13,275-88-02444,,"주식회사 지티과학(GTscience Co.,Ltd)",진평호,"경기도 하남시 미사대로 520, 씨에이동 8층 A031호(덕풍동, 현대지식산업센터 한강미사2차(25BL))",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","183,920","167,200","16,720",세금계산서,일반,인터넷발급,,청구,,newgenes@newgenesci.com,,2026-08-13,(Thermo) AM9916 - DEPC-Treated Water,5 x 100 mL,1,"167,200","167,200","16,720",
2026-08-11,20260811-41000061-9v42cvho,2026-08-12,2026-08-12,160-86-00927,,(주)다윈바이오텍,김용문,경기도 하남시 조정대로 150 (덕풍동) 아이테코 블루존 607호,595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호","1,474,000","1,340,000","134,000",세금계산서,일반,ASP발급,,청구,admin@dawinbiotech.com,newgenes@newgenesci.com,,2026-08-11,♥[CS-050] C-Slide,50 slides / box,20,"67,000","1,340,000","134,000",
2026-08-11,20260811-10260812-40904791,2026-08-12,2026-08-12,489-57-00532,,비에스테크광명,이재호 외 1 명,"경기도 광명시 소하로 190, B동 920,921호(소하동, 광명G타워)",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190(소하동, 광명G타워)비동9층21호","1,100,000","1,000,000","100,000",세금계산서,일반,인터넷발급,,청구,gateman4@daum.net,newgenes@newgenesci.com,,2026-08-11,사무실 임대료,,,,"1,000,000","100,000",
2026-08-11,20260811-10260811-40162724,2026-08-11,2026-08-11,275-88-02444,,"주식회사 지티과학(GTscience Co.,Ltd)",진평호,"경기도 하남시 미사대로 520, 씨에이동 8층 A031호(덕풍동, 현대지식산업센터 한강미사2차(25BL))",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호(소하동, 광명G타워)","128,920","117,200","11,720",세금계산서,일반,인터넷발급,,청구,,newgenes@newgenesci.com,,2026-08-11,(Sigma) 30603-500G - Potassium hydroxide 외 1종,ea,1,"117,200","117,200","11,720",
2026-08-11,20260811-10260811-40125338,2026-08-11,2026-08-11,768-54-00244,,에픽사이언스,정상훈,"대전광역시 유성구 죽동로298번길 27-8, 101호(죽동)",595-81-02960,,주식회사 뉴진사이언스,김기환,"경기도 광명시 소하로 190, 비동 9층 21호","220,000","200,000","20,000",세금계산서,일반,인터넷발급,,청구,jsh@epicscience.co.kr,newgenes@newgenesci.com,jason.kim@newgenesci.com,2026-08-11,Ultra pure water System A/S Charge, TSS-ASC,1,"200,000","200,000","20,000",
