매출 전자(수정) 세금계산서 목록조회,,,,,,,,,,,,,,,,,,,,,,,,대표 품목,,,,,,,,
작성일자,승인번호,발급일자,전송일자,공급자사업자등록번호,종사업장번호,상호,대표자명,주소,공급받는자사업자등록번호,종사업장번호,상호,대표자명,주소,합계금액,공급가액,세액,전자세금계산서분류,전자세금계산서종류,발급유형,비고,영수/청구 구분,공급자 이메일,공급받는자 이메일1,공급받는자 이메일2,품목일자,품목명,품목규격,품목수량,품목단가,품목공급가액,품목세액,품목비고
2026-08-31,20260831-41000061-ufbsqa4h,2026-08-31,2026-08-31,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",120-88-23213,,(주)베르티스,"한승만,노동영","경기도 과천시 과천대로7길 33, B동 301, 302호(갈현동, 디 테크 타워 과천)","990,000","900,000","90,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,yeji.kang@bertis.com,,2026-08-31,"Nugens 1250 µl Pipette Tip, Refill type, Natural, Sterile","[768 Tips/Pack, 10 Packs/Carton]",30,"30,000","900,000","90,000",
2026-08-27,20260827-41000061-cifws5o9,2026-09-03,2026-09-03,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",202-87-01983,,이뮤노디자이너스 주식회사,오성수,"서울특별시 강남구 테헤란로 322, 서관동 14층 1418, 1419호(역삼동, 한신인터밸리24빌딩)","181,500","165,000","16,500",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,hjshin@immunodesigners.com,,2026-08-27,"NuGen 15ml Centrifuge Tube, Sterile/box",,1,"70,400","70,400","7,040",
2026-08-21,20260821-41000061-ta35jdls,2026-08-27,2026-08-27,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",160-86-00927,,주식회사 다윈바이오텍,김용문,"경기도 하남시 조정대로 150, 607호(덕풍동, 아이테코)","9,743,250","8,857,500","885,750",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,dealer@dawinbiotech.com,,2026-08-21,ExTransfection Tube,,1,"315,000","315,000","31,500",
2026-08-19,20260819-41000061-ur6oalji,2026-08-31,2026-08-31,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",209-82-03522,,한국과학기술연구원,오상록,서울특별시 성북구 하월곡동 39-1,"2,420,000","2,200,000","220,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,parkmj@korea.ac.kr,,2026-08-19,Phi29 DNA polymerase,,4,"200,000","800,000","80,000",
2026-08-18,20260818-41000061-jwqrcnej,2026-08-28,2026-08-28,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",108-82-05979,,중앙대 산학협력단,김민성,서울특별시 동작구 흑석로 84(흑석동),"1,439,240","1,308,400","130,840",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,ksy106@cau.ac.kr,,2026-08-18,Digitonin 외 5건,,0,0,"1,308,400","130,840",
2026-08-18,20260818-41000061-jcasmj8i,2026-08-18,2026-08-18,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",779-87-01620,,라이노바이오 주식회사,고태호,"대전광역시 유성구 테크노2로 199, 3층 315호(용산동, 미건테크노월드)","18,000,000","16,363,636","1,636,364",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,kyj@rhinobio.co.kr,,2026-08-18,고려대 XF HS MINI 장비판매 수수료,,1,"16,363,636.36","16,363,636","1,636,364",
2026-08-18,20260818-41000061-jameb6de,2026-08-18,2026-08-18,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",120-88-23213,,(주)베르티스,"한승만,노동영","경기도 과천시 과천대로7길 33, B동 301, 302호(갈현동, 디 테크 타워 과천)","6,050,000","5,500,000","550,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,yoontak.han@bertis.com,,2026-08-18,"1730R, Microcentrifuge with Rotor(220V, 50/60Hz) included GYGREB-M-m2.0-24",,1,"5,500,000","5,500,000","550,000",
2026-08-18,20260818-41000061-jaleb635,2026-08-18,2026-08-18,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",120-88-23213,,(주)베르티스,"한승만,노동영","경기도 과천시 과천대로7길 33, B동 301, 302호(갈현동, 디 테크 타워 과천)","8,360,000","7,600,000","760,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,yoontak.han@bertis.com,,2026-08-18,"1248R, Multi-purpose Centrifuge without Rotor (220V, 50/60Hz) bench to",,1,"7,600,000","7,600,000","760,000",
2026-08-18,20260818-41000061-jakeb5kc,2026-08-18,2026-08-18,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",120-88-23213,,(주)베르티스,"한승만,노동영","경기도 과천시 과천대로7길 33, B동 301, 302호(갈현동, 디 테크 타워 과천)","1,650,000","1,500,000","150,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,yoontak.han@bertis.com,,2026-08-18,Four-wing Swing r250 ㎖ Rotor for holding r250 bucket & plate holder,4 x 250 ㎖,1,"700,000","700,000","70,000",
2026-08-18,20260818-41000061-iiefu2k3,2026-08-18,2026-08-18,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",120-88-23213,,(주)베르티스,"한승만,노동영","경기도 과천시 과천대로7길 33, B동 301, 302호(갈현동, 디 테크 타워 과천)","5,720,000","5,200,000","520,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,yoontak.han@bertis.com,,2026-08-18,Countess™ 3 Automated Cell Counter Starter Package,,1,"5,200,000","5,200,000","520,000",
2026-08-18,20260818-41000061-iiaft813,2026-08-18,2026-08-18,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",120-88-23213,,(주)베르티스,"한승만,노동영","경기도 과천시 과천대로7길 33, B동 301, 302호(갈현동, 디 테크 타워 과천)","-1,650,000","-1,500,000","-150,000",수정세금계산서,일반(수정),ASP발급,"당초 작성일자 (2026.08.18), 당초 승인번호 (20260818-41000061-jakeb5kc)/계약의 해제",청구,newgenes@newgenesci.com,yoontak.han@bertis.com,,2026-08-18,Four-wing Swing r250 ㎖ Rotor for holding r250 bucket & plate holder,4 x 250 ㎖,-1,"700,000","-700,000","-70,000",
2026-08-18,20260818-41000061-ii9ft7lu,2026-08-18,2026-08-18,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",120-88-23213,,(주)베르티스,"한승만,노동영","경기도 과천시 과천대로7길 33, B동 301, 302호(갈현동, 디 테크 타워 과천)","-8,360,000","-7,600,000","-760,000",수정세금계산서,일반(수정),ASP발급,"당초 작성일자 (2026.08.18), 당초 승인번호 (20260818-41000061-jaleb635)/계약의 해제",청구,newgenes@newgenesci.com,yoontak.han@bertis.com,,2026-08-18,"1248R, Multi-purpose Centrifuge without Rotor (220V, 50/60Hz) bench to",,-1,"7,600,000","-7,600,000","-760,000",
2026-08-18,20260818-41000061-ii8ft77m,2026-08-18,2026-08-18,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",120-88-23213,,(주)베르티스,"한승만,노동영","경기도 과천시 과천대로7길 33, B동 301, 302호(갈현동, 디 테크 타워 과천)","-6,050,000","-5,500,000","-550,000",수정세금계산서,일반(수정),ASP발급,"당초 작성일자 (2026.08.18), 당초 승인번호 (20260818-41000061-jameb6de)/계약의 해제",청구,newgenes@newgenesci.com,yoontak.han@bertis.com,,2026-08-18,"1730R, Microcentrifuge with Rotor(220V, 50/60Hz) included GYGREB-M-m2.0-24",,-1,"5,500,000","-5,500,000","-550,000",
2026-08-10,20260810-41000061-77t2k1ec,2026-08-10,2026-08-10,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",463-81-03153,,주식회사 셀바스찬,김교범,"서울시특별시 중구 필동로1길 30, 01228호(필동3가, 동국대학교)","4,869,150","4,426,500","442,650",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,miae0812@naver.com,,2026-08-10,MEM 외 11건,,0,0,"4,426,500","442,650",
2026-08-10,20260810-41000061-53eu4286,2026-08-10,2026-08-10,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",128-86-88690,,주식회사 나노백스,김봉윤,"제주특별자치도 제주시 연삼로 793, 1동 2층(화북이동)","4,999,500","4,545,000","454,500",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,watson11@hometax.go.kr,,2026-08-10,Gibco FBS (Fetal Bovine Serum) 500ml,,6,"710,000","4,260,000","426,000",
2026-08-10,20260810-41000061-4t542h2f,2026-08-11,2026-08-11,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",209-82-03522,,한국과학기술연구원,오상록,서울특별시 성북구 하월곡동 39-1,"2,225,300","2,023,000","202,300",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,bmpark@kist.re.kr,,2026-08-10,Anti-HMGB1 antibody,,1,"760,300","760,300","76,030",
2026-08-04,20260804-41000061-7urplm1c,2026-08-04,2026-08-04,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",160-86-00927,,주식회사 다윈바이오텍,김용문,"경기도 하남시 조정대로 150, 607호(덕풍동, 아이테코)","5,500,000","5,000,000","500,000",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,sj.im@dawinbiotech.com,,2026-08-04,ExTransfection Electroporation System,,1,"5,000,000","5,000,000","500,000",
2026-08-04,20260804-41000061-7uqpllnd,2026-08-04,2026-08-04,595-81-02960,,(주)뉴진사이언스,김기환,"경기도 광명시 소하로 190, 광명G타워 B동 921호",160-86-00927,,주식회사 다윈바이오텍,김용문,"경기도 하남시 조정대로 150, 607호(덕풍동, 아이테코)","8,823,375","8,021,250","802,125",세금계산서,일반,ASP발급,,청구,newgenes@newgenesci.com,sj.im@dawinbiotech.com,,2026-08-04,[EXT-1025K] ExTransfection 10 ul Kit (25 x 2 reaction),(지역),1,"521,250","521,250","52,125",
