가맹점그룹,주식회사 뉴진사이언스,,,,,
카드사,전체 (전체),,,,,
거래일자,거래합계,거래건수,승인소계,승인건수,취소소계,취소건수
2026-09-10,"149,600",1,"149,600",1,0,0
2026-09-08,"1,866,612",1,"1,866,612",1,0,0
2026-08-31,"3,105,476",2,"3,105,476",2,0,0
2026-08-25,"2,134,660",1,"2,134,660",1,0,0
2026-08-24,"1,619,904",1,"1,619,904",1,0,0
2026-08-18,"1,846,416",1,"1,846,416",1,0,0
2026-08-14,"2,200,000",1,"2,200,000",1,0,0
2026-08-10,"1,846,416",1,"1,846,416",1,0,0
2026-08-07,"642,400",1,"642,400",1,0,0
2026-08-03,"2,426,160",3,"4,852,320",2,"-2,426,160",1
2026-07-29,"5,093,000",1,"5,093,000",1,0,0
2026-07-27,"2,901,580",1,"2,901,580",1,0,0
2026-07-24,"3,000,000",1,"3,000,000",1,0,0
2026-07-22,"2,764,300",1,"2,764,300",1,0,0
2026-07-20,"2,637,800",1,"2,637,800",1,0,0
2026-07-14,"2,466,750",1,"2,466,750",1,0,0
2026-07-08,"2,556,840",1,"2,556,840",1,0,0
2026-07-06,"2,909,940",1,"2,909,940",1,0,0
2026-07-01,"1,606,935",1,"1,606,935",1,0,0
2026-06-30,"2,924,386",10,"2,926,494",7,"-2,108",3
2026-06-18,"5,384,445",1,"5,384,445",1,0,0
2026-06-17,"2,782,340",1,"2,782,340",1,0,0
2026-06-11,"2,671,834",3,"5,343,668",2,"-2,671,834",1
2026-04-28,"2,599,410",1,"2,599,410",1,0,0
2026-04-13,"4,372,500",1,"4,372,500",1,0,0
2026-04-10,"3,047,770",1,"3,047,770",1,0,0
2026-04-01,"707,850",1,"707,850",1,0,0
2026-03-30,"6,918,285",1,"6,918,285",1,0,0
2026-02-24,"4,356,935",1,"4,356,935",1,0,0
2026-02-19,"1,781,230",1,"1,781,230",1,0,0
2026-02-09,"2,000,000",3,"4,000,000",2,"-2,000,000",1
2026-01-30,"981,145",1,"981,145",1,0,0
2026-01-29,"627,825",1,"627,825",1,0,0
2026-01-26,"2,023,120",1,"2,023,120",1,0,0
2026-01-23,"1,794,980",1,"1,794,980",1,0,0
2026-01-21,"754,380",1,"754,380",1,0,0
총계,"89,503,224",52,"96,603,326",46,"-7,100,102",6
